"Fecha";"SKU";"Precio";"Disponibilidad";"Imagenes";"Links";"Categoria";"peso_valor";"peso_unidad";"stock"
2025-05-17;"Añejo Medellin 500 Gr";1400;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/Anejo-Medellin-500-Gr-300x300.jpg";"https://supermercadomasbarato.com/producto/anejo-medellin-500-gr/";"Harinas y Mezclas Listas";500;"gr";38
2025-05-17;"Harina Americana 1000 Gr Bt 50";2000;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/Productos-Harina-La-Americana-1-kilo-1-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-americana-1000-gr-bt-50/";"Harinas y Mezclas Listas";1000;"gr";142
2025-05-17;"Harina Americana 2500 Gr Pc 20";4900;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/LA-AMERICANA-2.5-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-americana-2500-gr-pc-20/";"Harinas y Mezclas Listas";2500;"gr";55
2025-05-17;"Harina Americana 454 Gr Pc 25";1000;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/LA-AMERICANA-454-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-americana-454-gr-pc-25/";"Harinas y Mezclas Listas";454;"gr";214
2025-05-17;"Harina De Quinua Libra Pt 25 @";5300;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/Harina-De-Quinua-Libra-Pt-25-@-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-de-quinua-libra-pt-25/";"Harinas y Mezclas Listas";1;"lb";12
2025-05-17;"Harina De Trigo Haz De Oros 1000 Gr Pc 25 @";2800;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/haz-de-ooros-1-kilo-1-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-de-trigo-haz-de-oros-1000-gr-pc-25/";"Harinas y Mezclas Listas";1000;"gr";30
2025-05-17;"Harina De Trigo Haz De Oros 2500 Gr Pc 10 @";6200;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/Harina-De-Trigo-723359_a-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-de-trigo-haz-de-oros-2500-gr-pc-10/";"Harinas y Mezclas Listas";2500;"gr";10
2025-05-17;"Harina Doñarepa Maíz Amarillo 1000 Gr Pc 20";3400;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/7702020212021-1-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-donarepa-maiz-amarillo-1000-gr-pc-20/";"Harinas y Mezclas Listas";1000;"gr";18
2025-05-17;"Harina Doñarepa Maiz Blanca 500 Gr Pc 24";2000;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/7702020211017_1-5-1-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-donarepa-maiz-blanca-500-gr-pc-24/";"Harinas y Mezclas Listas";500;"gr";14
2025-05-17;"Harina Maiz Blanca La Soberana 1.000 Gr Pc 24";3200;"Add to cart";"https://supermercadomasbarato.com/wp-content/uploads/2021/01/2-aprepa-la-soberana-300x300.jpg";"https://supermercadomasbarato.com/producto/harina-maiz-blanca-la-soberana-1-000-gr-pc-24/";"Harinas y Mezclas Listas";1;"gr";25
